id;first_name;last_name;email;age;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;system;2022-11-10T00:03:59;11488;51073
2;Emmet;Hessel;Carolyn_Nitzsche@gmail.com;override;Small Indiana Sleek;2022-11-09T22:26:58;71090;65309
3;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;Africa synergy Albania;2022-11-10T02:37:19;80529;94809
4;Kelli;Cassin;Ignatius33@yahoo.com;Concrete;Directives payment frictionless;2022-11-09T17:10:55;76252;64329
5;Brice;Frami;Lelia.Lockman72@gmail.com;Devolved rich;Kiribati Group;2022-11-10T08:43:23;422;8893
6;June;Nienow;Vida4@yahoo.com;Electronics;North bluetooth Bike;2022-11-10T11:15:43;43323;90189
7;Raphael;Abshire;Cindy22@hotmail.com;back Mandatory Alaska;Small architecture;2022-11-10T07:29:14;23710;65131
8;Guido;Denesik;Magnolia62@gmail.com;Chad Investor Soft;Wooden;2022-11-10T06:06:46;32719;68452
9;Kaia;Lesch;Lorena.Waters@gmail.com;redundant;multi-state payment;2022-11-10T09:29:59;3534;64377
10;Adelle;Marquardt;Trenton88@gmail.com;BEAC;SMTP customized Movies;2022-11-10T07:50:32;2811;43399
